var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var2(t),var4(t),var6(t)
0.29885513,0.32387158,0.4329808,0.25272837,0.4876659,0.21267605,0.5966824,0.5122184,0.59614825
0.30350417,0.5966824,0.43197438,0.5122184,0.5018972,0.59614825,0.61056376,0.65251946,0.6111311
0.31037122,0.61056376,0.44499686,0.65251946,0.5188358,0.6111311,0.6041128,0.7819177,0.7309339
0.3162573,0.6041128,0.4714031,0.7819177,0.5567285,0.7309339,0.5791436,0.6831701,0.62317634
0.31817657,0.5791436,0.4883277,0.6831701,0.57645106,0.62317634,0.61764735,0.6673195,0.66184217
0.32628053,0.61764735,0.50390923,0.6673195,0.6033963,0.66184217,0.7287605,0.68298876,0.87160456
0.35242623,0.7287605,0.52150476,0.68298876,0.6692636,0.87160456,0.53862596,0.57957155,0.4963412
0.34769183,0.53862596,0.52791107,0.57957155,0.66623056,0.4963412,0.51138014,0.529621,0.40408707
0.33847898,0.51138014,0.5287392,0.529621,0.6456082,0.40408707,0.49473545,0.3872986,0.47014716
0.3266217,0.49473545,0.5135199,0.3872986,0.6376879,0.47014716,0.6757383,0.5661961,0.5317602
0.34419435,0.6757383,0.5183846,0.5661961,0.6413498,0.5317602,0.6031828,0.4802737,0.85518855
0.3501231,0.6031828,0.51370656,0.4802737,0.70575225,0.85518855,0.5566003,0.27412623,0.2871301
0.3483743,0.5566003,0.48621866,0.27412623,0.66176796,0.2871301,0.68382335,0.57227314,0.58339083
0.36765307,0.68382335,0.4915761,0.57227314,0.6753056,0.58339083,0.54562026,0.36391413,0.48360854
0.36402768,0.54562026,0.47449717,0.36391413,0.6698191,0.48360854,0.57301414,0.6031908,0.5785187
0.36500865,0.57301414,0.48304197,0.6031908,0.68249357,0.5785187,0.58571345,0.7427019,0.63731766
0.36812228,0.58571345,0.5065675,0.7427019,0.70659554,0.63731766,0.4746912,0.45164055,0.45318145
0.35255426,0.4746912,0.49881008,0.45164055,0.69505394,0.45318145,0.5949291,0.5252328,0.56610084
0.35716075,0.5949291,0.49913236,0.5252328,0.705516,0.56610084,0.47732177,0.38293,0.33408678
0.34218985,0.47732177,0.48396525,0.38293,0.6707126,0.33408678,0.5902705,0.4355445,0.5527004
0.34598583,0.5902705,0.47469893,0.4355445,0.67845607,0.5527004,0.5198262,0.26296696,0.33897138
0.33818048,0.5198262,0.4473106,0.26296696,0.64516306,0.33897138,0.60234725,0.6339406,0.57084537
0.34393853,0.60234725,0.45870158,0.6339406,0.65619934,0.57084537,0.6653958,0.7033874,0.6944566
0.36010367,0.6653958,0.47744903,0.7033874,0.69074094,0.6944566,0.52632344,0.4548267,0.42621392
0.3532793,0.52632344,0.47030094,0.4548267,0.6740886,0.42621392,0.5717892,0.6727884,0.6103424
0.354047,0.5717892,0.4861116,0.6727884,0.6928959,0.6103424,0.47166702,0.47549874,0.4099502
0.33818048,0.47166702,0.481101,0.47549874,0.67306817,0.4099502,0.554395,0.4055785,0.5125053
0.33609062,0.554395,0.468677,0.4055785,0.6731241,0.5125053,0.551497,0.5718223,0.4733698
0.33353144,0.551497,0.47387138,0.5718223,0.66568387,0.4733698,0.5121917,0.7655657,0.5111927
0.32457453,0.5121917,0.49954233,0.7655657,0.6654892,0.5111927,0.6220873,0.57692647,0.62867534
0.3334462,0.6220873,0.5054946,0.57692647,0.68769133,0.62867534,0.6229282,0.5559687,0.7399563
0.34253114,0.6229282,0.5091909,0.5559687,0.7317076,0.7399563,0.57884365,0.50284666,0.5066517
0.34445053,0.57884365,0.5070509,0.50284666,0.73060346,0.5066517,0.5365958,0.41224176,0.4562976
0.33941752,0.5365958,0.4949592,0.41224176,0.719512,0.4562976,0.5835641,0.5471537,0.6343062
0.3421046,0.5835641,0.49765405,0.5471537,0.74356973,0.6343062,0.6222077,0.5834215,0.5847168
0.35114676,0.6222077,0.5042983,0.5834215,0.7580631,0.5847168,0.58441174,0.6944716,0.552642
0.35400444,0.58441174,0.52315974,0.6944716,0.766214,0.552642,0.6179962,0.5493577,0.48149797
0.3624497,0.6179962,0.5261942,0.5493577,0.7599915,0.48149797,0.5956907,0.39718276,0.37408924
0.36722666,0.5956907,0.51213145,0.39718276,0.73211193,0.37408924,0.6153417,0.58682716,0.619393
0.37533063,0.6153417,0.5192692,0.58682716,0.75339127,0.619393,0.61045134,0.57471305,0.5226348
0.38266677,0.61045134,0.5251169,0.57471305,0.7554866,0.5226348,0.5179206,0.49585143,0.45328626
0.37426418,0.5179206,0.52215064,0.49585143,0.74362385,0.45328626,0.56967497,0.5807382,0.52941775
0.37468928,0.56967497,0.5286925,0.5807382,0.74706304,0.52941775,0.55988777,0.53007704,0.5127382
0.37345678,0.55988777,0.5295727,0.53007704,0.7471683,0.5127382,0.56892353,0.44396004,0.48673314
0.3737542,0.56892353,0.52073383,0.44396004,0.7420639,0.48673314,0.45339793,0.24323142,0.202627
0.3545012,0.45339793,0.48956475,0.24323142,0.6802336,0.202627,0.6021953,0.64275026,0.61383486
0.36032373,0.6021953,0.50252664,0.64275026,0.69978416,0.61383486,0.60505575,0.4870386,0.5296773
0.36665648,0.60505575,0.49867585,0.4870386,0.7031845,0.5296773,0.56564796,0.44997665,0.4744944
0.3664015,0.56564796,0.49081108,0.44997665,0.6958252,0.4744944,0.5358102,0.5164048,0.5045527
0.36113137,0.5358102,0.4901791,0.5164048,0.6943371,0.5045527,0.6726203,0.57548004,0.6227242
0.37876946,0.6726203,0.49590793,0.57548004,0.71578276,0.6227242,0.5416669,0.34150994,0.38901013
0.3744344,0.5416669,0.47630927,0.34150994,0.69156075,0.38901013,0.6276515,0.4181967,0.21294907
0.38467723,0.6276515,0.46529463,0.4181967,0.63358426,0.21294907,0.5741263,0.49931663,0.5642771
0.38586718,0.5741263,0.46289864,0.49931663,0.6433126,0.5642771,0.60466665,0.55344874,0.501959
0.39228493,0.60466665,0.46614322,0.55344874,0.6413846,0.501959,0.5676586,0.44786984,0.42869407
0.3923698,0.5676586,0.45836887,0.44786984,0.6257014,0.42869407,0.5355634,0.41714287,0.3270557
0.3869297,0.5355634,0.44749168,0.41714287,0.59127676,0.3270557,0.58875096,0.44770652,0.389463
0.39062732,0.58875096,0.43988392,0.44770652,0.56895614,0.389463,0.7254236,0.34337163,0.28661197
0.41782826,0.7254236,0.4218106,0.34337163,0.52853036,0.28661197,0.52252465,0.65606666,0.8186353
0.40996546,0.52252465,0.43500808,0.65606666,0.5819695,0.8186353,0.6373908,0.3465461,0.37148845
0.4222483,0.6373908,0.41736862,0.3465461,0.5565356,0.37148845,0.676045,0.6039028,0.54560065
0.44150144,0.676045,0.42537287,0.6039028,0.5624691,0.54560065,0.59008825,0.56601834,0.6264741
0.44562417,0.59008825,0.4297087,0.56601834,0.5828557,0.6264741,0.5714034,0.29720712,0.4565018
0.44638902,0.5714034,0.40727392,0.29720712,0.57278085,0.4565018,0.58057827,0.28037006,0.10199395
0.4488116,0.58057827,0.38387755,0.28037006,0.4990872,0.10199395,0.4668929,0.75861686,0.5183993
0.43066353,0.4668929,0.4060066,0.75861686,0.50014436,0.5183993,0.5354342,0.5201326,0.41548368
0.42501086,0.5354342,0.40580013,0.5201326,0.48360062,0.41548368,0.44680208,0.50570214,0.6383645
0.40367526,0.44680208,0.40420088,0.50570214,0.5049288,0.6383645,0.52928686,0.46915352,0.46469036
0.39708763,0.52928686,0.39908507,0.46915352,0.49677396,0.46469036,0.62936014,0.69498485,0.7520394
0.40784043,0.62936014,0.415603,0.69498485,0.53769565,0.7520394,0.56521714,0.43005997,0.34469748
0.40750045,0.56521714,0.4065831,0.43005997,0.50829935,0.34469748,0.6555676,0.67826617,0.6259966
0.4229284,0.6555676,0.42165658,0.67826617,0.5278698,0.6259966,0.58878344,0.656752,0.5736774
0.42675346,0.58878344,0.43491897,0.656752,0.5385841,0.5736774,0.59062564,0.55277276,0.5854428
0.4309185,0.59062564,0.4379805,0.55277276,0.5514424,0.5854428,0.5399735,0.492007,0.40825248
0.4260735,0.5399735,0.4349307,0.492007,0.53302944,0.40825248,0.61627084,0.42614967,0.36814845
0.43478614,0.61627084,0.42528293,0.42614967,0.507828,0.36814845,0.57001734,0.34782967,0.38782978
0.43529624,0.57001734,0.40799633,0.34782967,0.48644125,0.38782978,0.57833254,0.47567648,0.57622015
0.43729383,0.57833254,0.40348533,0.47567648,0.4972844,0.57622015,0.46374893,0.5056213,0.36536396
0.41876322,0.46374893,0.4018834,0.5056213,0.4722184,0.36536396,0.63828844,0.099754065,0.06209284
0.43130106,0.63828844,0.36131874,0.099754065,0.39672446,0.06209284,0.6894853,0.63512516,0.4251998
0.45310432,0.6894853,0.3715491,0.63512516,0.38290954,0.4251998,0.5309011,0.68211895,0.6824824
0.44651657,0.5309011,0.38625535,0.68211895,0.40966368,0.6824824,0.54104686,0.56452787,0.5341198
0.44179899,0.54104686,0.3902252,0.56452787,0.41317523,0.5341198,0.5246379,0.70208985,0.6397538
0.43414873,0.5246379,0.40721235,0.70208985,0.43367326,0.6397538,0.63923204,0.5152238,0.54368174
0.44702655,0.63923204,0.40653083,0.5152238,0.43880725,0.54368174,0.6250221,0.51191396,0.39642942
0.45748192,0.6250221,0.40553012,0.51191396,0.4198469,0.39642942,0.63825387,0.673326,0.9593667
0.47044474,0.63825387,0.4201053,0.673326,0.49206603,0.9593667,0.43485063,0.3903546,0.38461488
0.44604915,0.43485063,0.40712306,0.3903546,0.47036493,0.38461488,0.5869375,0.532176,0.56276643
0.4496191,0.5869375,0.4080809,0.532176,0.4788326,0.56276643,0.53595436,0.61971873,0.57898253
0.44396645,0.53595436,0.41751638,0.61971873,0.49008334,0.57898253,0.6190448,0.54023594,0.45180497
0.45331675,0.6190448,0.4192783,0.54023594,0.4798237,0.45180497,0.6130126,0.615919,0.63572
0.4616471,0.6130126,0.4284843,0.615919,0.50064945,0.63572,0.46706545,0.31789947,0.34545785
0.44332904,0.46706545,0.40814534,0.31789947,0.4721191,0.34545785,0.60114104,0.5195675,0.36330682
0.44944912,0.60114104,0.40788355,0.5195675,0.44714642,0.36330682,0.5380623,0.37460196,0.3972264
0.44417912,0.5380623,0.39358935,0.37460196,0.42820275,0.3972264,0.38609076,0.6535053,0.7076891
0.41153806,0.38609076,0.4060451,0.6535053,0.4599675,0.7076891,0.5948273,0.5522565,0.52700496
0.4163832,0.5948273,0.40894046,0.5522565,0.46242678,0.52700496,0.53696364,0.5020101,0.51757514
0.41107053,0.53696364,0.40697637,0.5020101,0.46331978,0.51757514,0.47952983,0.5707657,0.487408
0.39572757,0.47952983,0.41166493,0.5707657,0.4591856,0.487408,0.6597116,0.5792723,0.64200145
0.41170818,0.6597116,0.41721115,0.5792723,0.48075294,0.64200145,0.5234937,0.57749534,0.60275406
0.40405792,0.5234937,0.42262492,0.57749534,0.4960301,0.60275406,0.61455715,0.30979642,0.42268997
0.41230327,0.61455715,0.4016439,0.30979642,0.48076236,0.42268997,0.5162418,0.3841535,0.39011824
0.40337795,0.5162418,0.388388,0.3841535,0.46016097,0.39011824,0.6502741,0.6058006,0.6120765
0.41782838,0.6502741,0.39625868,0.6058006,0.47676718,0.6120765,0.5466543,0.5361653,0.507484
0.41421574,0.5466543,0.39758232,0.5361653,0.47597134,0.507484,0.5494931,0.58201104,0.5540803
0.41111308,0.5494931,0.40328392,0.58201104,0.48301184,0.5540803,0.5011373,0.4716739,0.39555508
0.39955264,0.5011373,0.3984169,0.4716739,0.46329677,0.39555508,0.5315985,0.64349467,0.6319726
0.39339,0.5315985,0.40999982,0.64349467,0.48325586,0.6319726,0.5896108,0.51238847,0.55193377
0.39725763,0.5896108,0.40904048,0.51238847,0.48996973,0.55193377,0.5418479,0.54077107,0.59925455
0.39288002,0.5418479,0.41083416,0.54077107,0.50475144,0.59925455,0.6345336,0.76899767,0.7311082
0.40448278,0.6345336,0.43481335,0.76899767,0.5423088,0.7311082,0.55886215,0.46666303,0.54534245
0.40303773,0.55886215,0.42923287,0.46666303,0.5481405,0.54534245,0.5265757,0.48134404,0.43863544
0.39598268,0.5265757,0.4251558,0.48134404,0.53513765,0.43863544,0.46184337,0.72731227,0.6778475
0.37779218,0.46184337,0.4454715,0.72731227,0.56415355,0.6778475,0.5919353,0.6458416,0.5081434
0.3819998,0.5919353,0.45804647,0.6458416,0.5634265,0.5081434,0.56143206,0.5913199,0.51548374
0.38102216,0.56143206,0.46518782,0.5913199,0.56401026,0.51548374,0.6497367,0.67115694,0.70871663
0.39509004,0.6497367,0.48072663,0.67115694,0.5991068,0.70871663,0.5597765,0.49430898,0.49605408
0.39381498,0.5597765,0.477751,0.49430898,0.5961534,0.49605408,0.6317644,0.66447866,0.54621965
0.40495032,0.6317644,0.4928287,0.66447866,0.6023567,0.54621965,0.5630149,0.3881929,0.48126888
0.4042278,0.5630149,0.47834608,0.3881929,0.596689,0.48126888,0.6038024,0.5928665,0.5792358
0.41060287,0.6038024,0.48583665,0.5928665,0.60891926,0.5792358,0.6091793,0.5958184,0.5850998
0.4179557,0.6091793,0.4937131,0.5958184,0.6223253,0.5850998,0.5037107,0.50008327,0.36274332
0.4067778,0.5037107,0.4913139,0.50008327,0.5945957,0.36274332,0.57764375,0.46909514,0.43258756
0.4086054,0.57764375,0.48558077,0.46909514,0.58008516,0.43258756,0.57859975,0.45529875,0.4325437
0.410603,0.57859975,0.47841075,0.45529875,0.565704,0.4325437,0.6601798,0.6367834,0.6734843
0.42688102,0.6601798,0.49056205,0.6367834,0.5945401,0.6734843,0.58511776,0.52330583,0.50921106
0.43006867,0.58511776,0.49067357,0.52330583,0.59399295,0.50921106,0.5748031,0.6668983,0.57701385
0.43142873,0.5748031,0.5062547,0.6668983,0.60579693,0.57701385,0.5612042,0.535637,0.5519283
0.43036622,0.5612042,0.50772214,0.535637,0.61308694,0.5519283,0.60129,0.64816576,0.546429
0.43644387,0.60129,0.52156866,0.64816576,0.61939716,0.546429,0.56241745,0.35969,0.3292612
0.43559378,0.56241745,0.5033902,0.35969,0.58551955,0.3292612,0.562889,0.46589774,0.5288653
0.43482882,0.562889,0.49722227,0.46589774,0.588536,0.5288653,0.5258044,0.3571089,0.46596444
0.42743355,0.5258044,0.47928622,0.3571089,0.5801412,0.46596444,0.6375057,0.6285937,0.4925297
0.43992907,0.6375057,0.49058083,0.6285937,0.57658803,0.4925297,0.5981657,0.709085,0.61062974
0.44549674,0.5981657,0.5107044,0.709085,0.5943123,0.61062974,0.5462048,0.54740745,0.5817934
0.4417141,0.5462048,0.513479,0.54740745,0.6069896,0.5817934,0.5716543,0.5765834,0.7341141
0.44252163,0.5716543,0.5194938,0.5765834,0.647753,0.7341141,0.5640951,0.37006173,0.37246823
0.4419691,0.5640951,0.50251675,0.37006173,0.6214062,0.37246823,0.6574035,0.62378013,0.67380905
0.45820457,0.6574035,0.51361144,0.62378013,0.65136766,0.67380905,0.5438714,0.6782671,0.5623126
0.4539544,0.5438714,0.53088975,0.6782671,0.66083467,0.5623126,0.58165956,0.51799047,0.5106661
0.45658952,0.58165956,0.5304059,0.51799047,0.66054046,0.5106661,0.55620146,0.61787784,0.60771316
0.45459193,0.55620146,0.54120755,0.61787784,0.67869043,0.60771316,0.5648282,0.48284304,0.40839761
0.45416695,0.5648282,0.5366968,0.48284304,0.6587366,0.40839761,0.61812145,0.5451856,0.5274273
0.46343225,0.61812145,0.53930473,0.5451856,0.6616248,0.5274273,0.5323808,0.2540494,0.34023353
0.45705706,0.5323808,0.5086862,0.2540494,0.6289176,0.34023353,0.5247291,0.48092368,0.54632574
0.44932193,0.5247291,0.50413346,0.48092368,0.63527274,0.54632574,0.5688081,0.6153023,0.61351603
0.44961947,0.5688081,0.51432145,0.6153023,0.6542219,0.61351603,0.5793672,0.49333456,0.43479678
0.4518296,0.5793672,0.51111376,0.49333456,0.6395668,0.43479678,0.6596806,0.4290909,0.5146732
0.46861762,0.6596806,0.50082374,0.4290909,0.6400281,0.5146732,0.5533126,0.4856321,0.51265436
0.4660675,0.5533126,0.49682745,0.4856321,0.64011085,0.51265436,0.6201492,0.7331113,0.655846
0.47580022,0.6201492,0.51971316,0.7331113,0.6670604,0.655846,0.58919364,0.697118,0.5379197
0.4798804,0.58919364,0.53922045,0.697118,0.67196584,0.5379197,0.52600265,0.5532274,0.448475
0.47223014,0.52600265,0.54275393,0.5532274,0.65976584,0.448475,0.6534765,0.50362074,0.6174394
0.4881683,0.6534765,0.5406165,0.50362074,0.6797545,0.6174394,0.5278775,0.54785824,0.47964397
0.48081547,0.5278775,0.5435419,0.54785824,0.6734904,0.47964397,0.6533095,0.57308066,0.5696963
0.4968385,0.6533095,0.5493705,0.57308066,0.68450344,0.5696963,0.5879068,0.51893365,0.48423225
0.5007487,0.5879068,0.5489851,0.51893365,0.6791061,0.48423225,0.60267156,0.73241293,0.5223136
0.50746375,0.60267156,0.5732423,0.73241293,0.6810478,0.5223136,0.6824829,0.8905273,0.84954476
0.5293943,0.6824829,0.61693084,0.8905273,0.7459785,0.84954476,0.5480664,0.57257676,0.41349375
0.5256968,0.5480664,0.6231891,0.57257676,0.72621644,0.41349375,0.62198925,0.8242371,0.6199157
0.5362795,0.62198925,0.6610048,0.8242371,0.7475244,0.6199157,0.67631674,0.7207526,0.62775886
0.5575301,0.67631674,0.6868521,0.7207526,0.77067566,0.62775886,0.56094015,0.61250305,0.5158939
0.5562976,0.56094015,0.6989107,0.61250305,0.77142334,0.5158939,0.4646839,0.40861964,0.39336845
0.5360245,0.4646839,0.68354154,0.40861964,0.7472738,0.39336845,0.58747137,0.5554983,0.5699741
0.539977,0.58747137,0.68796754,0.5554983,0.75884545,0.5699741,0.42895278,0.52163124,0.41292936
0.51298875,0.42895278,0.68788207,0.52163124,0.7388189,0.41292936,0.5662749,0.40290183,0.5343275
0.51281875,0.5662749,0.6719135,0.40290183,0.743227,0.5343275,0.51064867,0.50082546,0.5561488
0.5020235,0.51064867,0.66909003,0.50082546,0.7520077,0.5561488,0.69063103,0.8751889,0.75382614
0.52539843,0.69063103,0.7154256,0.8751889,0.80054736,0.75382614,0.5185398,0.45796388,0.49964628
0.5160145,0.5185398,0.7065891,0.45796388,0.79795027,0.49964628,0.53516155,0.22068048,0.40490758
0.5098855,0.53516155,0.6654991,0.22068048,0.7758081,0.40490758,0.56095356,0.7623568,0.48737252
0.508702,0.56095356,0.6969068,0.7623568,0.77074754,0.48737252,0.6217864,0.20851663,0.29535323
0.51910025,0.6217864,0.6545608,0.20851663,0.72669876,0.29535323,0.6829667,0.6800417,0.6838093
0.541334,0.6829667,0.6749723,0.6800417,0.7606571,0.6838093,0.54575765,0.64786816,0.48332927
0.53714925,0.54575765,0.6915599,0.64786816,0.7548245,0.48332927,0.52615887,0.64450526,0.57185644
0.5291602,0.52615887,0.7079711,0.64450526,0.76682675,0.57185644,0.5951154,0.8498741,0.603927
0.53457075,0.5951154,0.75266504,0.8498741,0.785413,0.603927,0.7317461,0.73146546,0.8537777
0.5665688,0.7317461,0.7824396,0.73146546,0.85538566,0.8537777,0.5752187,0.7084263,0.39961618
0.568175,0.5752187,0.8096669,0.7084263,0.8313848,0.39961618,0.7705909,0.82492197,0.6806023
0.6087958,0.7705909,0.855021,0.82492197,0.86679876,0.6806023,0.45494998,0.6149979,0.4506004
0.58567446,0.45494998,0.86947215,0.6149979,0.85358214,0.4506004,0.5963991,0.31218094,0.7092371
0.59159225,0.5963991,0.8363297,0.31218094,0.895537,0.7092371,0.4391206,0.32010657,0.08588275
0.5655542,0.4391206,0.8053225,0.32010657,0.8026316,0.08588275,0.45898485,0.0937776,0.3841068
0.5439969,0.45898485,0.741356,0.0937776,0.77612615,0.3841068,0.53803545,0.48966295,0.4203878
0.53829056,0.53803545,0.7367636,0.48966295,0.7574159,0.4203878,0.43385562,0.2799093,0.15737855
0.5122948,0.43385562,0.7027776,0.2799093,0.6859027,0.15737855,0.66878045,0.70315063,0.67210865
0.5316965,0.66878045,0.72733045,0.70315063,0.71677184,0.67210865,0.5891743,0.7499982,0.67538035
0.5359656,0.5891743,0.7589809,0.7499982,0.74887,0.67538035,0.57389706,0.28947118,0.40384
0.53727597,0.57389706,0.7256526,0.28947118,0.7271383,0.40384,0.58169967,0.29097065,0.2522082
0.540108,0.58169967,0.693557,0.29097065,0.6756705,0.2522082,0.6472502,0.5475678,0.6509063
0.5557477,0.6472502,0.6969601,0.5475678,0.702278,0.6509063,0.54087144,0.31052482,0.4533252
0.5505486,0.54087144,0.66838014,0.31052482,0.6907948,0.4533252,0.5190832,0.3033108,0.46523622
0.5410802,0.5190832,0.63965285,0.3033108,0.6816982,0.46523622,0.55829716,0.5920927,0.6156727
0.5393471,0.55829716,0.6485485,0.5920927,0.70162034,0.6156727,0.59986806,0.55605793,0.52971625
0.5457298,0.59986806,0.65289295,0.55605793,0.705032,0.52971625,0.73178786,0.5916694,0.63573205
0.5780236,0.73178786,0.6618562,0.5916694,0.72915864,0.63573205,0.58838063,0.650949,0.7418181
0.58229274,0.58838063,0.6786277,0.650949,0.7746637,0.7418181,0.5397382,0.6644501,0.55880576
0.57675546,0.5397382,0.697474,0.6644501,0.78414917,0.55880576,0.66935444,0.620859,0.48696226
0.59729844,0.66935444,0.7107874,0.620859,0.77898,0.48696226,0.5946896,0.59237784,0.6618196
0.60292023,0.5946896,0.72037804,0.59237784,0.80951416,0.6618196,0.3911847,0.3139956,0.34552714
0.56682223,0.3911847,0.6916225,0.3139956,0.7748904,0.34552714,0.54703355,0.71415967,0.7393513
0.56280655,0.54703355,0.7173871,0.71415967,0.8211384,0.7393513,0.58906007,0.6655031,0.55599105
0.5671603,0.58906007,0.73710597,0.6655031,0.8302921,0.55599105,0.5875025,0.85453254,0.641863
0.5712183,0.5875025,0.7837137,0.85453254,0.85754204,0.641863,0.64339983,0.56386065,0.5167492
0.58647746,0.64339983,0.78980374,0.56386065,0.85851,0.5167492,0.46595198,0.36473626,0.3895183
0.5659768,0.46595198,0.76660955,0.36473626,0.8323113,0.3895183,0.5491409,0.577607,0.43778387
0.56238383,0.5491409,0.7745874,0.577607,0.8166497,0.43778387,0.5518544,0.7338302,0.6606921
0.55934054,0.5518544,0.80531085,0.7338302,0.8476169,0.6606921,0.6272754,0.7301915,0.53042334
0.5712605,0.6272754,0.8363495,0.7301915,0.8514818,0.53042334,0.5677982,0.59911937,0.5899903
0.57138735,0.5677982,0.84813666,0.59911937,0.86802447,0.5899903,0.5661092,0.3240252,0.44725573
0.571176,0.5661092,0.8174212,0.3240252,0.8540808,0.44725573,0.56040686,0.64827025,0.5161339
0.5698233,0.56040686,0.8364321,0.64827025,0.854916,0.5161339,0.556383,0.55878466,0.5401533
0.56766766,0.556383,0.842033,0.55878466,0.8608699,0.5401533,0.56928265,0.49750254,0.47906008
0.5680904,0.56928265,0.8382155,0.49750254,0.85378146,0.47906008,0.61225593,0.3207323,0.5580905
0.5770938,0.61225593,0.80725396,0.3207323,0.86355186,0.5580905,0.6380061,0.55360746,0.57969636
0.5913386,0.6380061,0.8119401,0.55360746,0.8780016,0.57969636,0.59356874,0.58504003,0.6613786
0.5967068,0.59356874,0.82136524,0.58504003,0.9101974,0.6613786,0.58248657,0.6274399,0.59941167
0.59983474,0.58248657,0.837288,0.6274399,0.9293511,0.59941167,0.54031295,0.6222503,0.5175336
0.5943398,0.54031295,0.85263526,0.6222503,0.93053174,0.5175336,0.40412897,0.6016567,0.3872326
0.56111604,0.40412897,0.86498225,0.6016567,0.90277743,0.3872326,0.5450275,0.5808556,0.60488605
0.55671996,0.5450275,0.8741895,0.5808556,0.9230521,0.60488605,0.52658045,0.2168172,0.2551495
0.5486888,0.52658045,0.8258128,0.2168172,0.86619425,0.2551495,0.61445785,0.60153806,0.53922546
0.5579881,0.61445785,0.8378606,0.60153806,0.87198675,0.53922546,0.5767673,0.59068394,0.6065837
0.5598902,0.5767673,0.8483676,0.59068394,0.8922881,0.6065837,0.5969943,0.64593786,0.56061625
0.565808,0.5969943,0.8675319,0.64593786,0.90281737,0.56061625,0.54129136,0.49422807,0.55081755
0.5606511,0.54129136,0.8631153,0.49422807,0.9112632,0.55081755,0.5152078,0.6118385,0.49369648
0.5503374,0.5152078,0.8771697,0.6118385,0.90719354,0.49369648,0.46733582,0.4589151,0.48175192
0.530682,0.46733582,0.8671107,0.4589151,0.9005132,0.48175192,0.601624,0.50643814,0.57960653
0.5373606,0.601624,0.8646182,0.50643814,0.91523933,0.57960653,0.6003541,0.83515,0.6164069
0.54382783,0.6003541,0.91377544,0.83515,0.93818843,0.6164069,0.5119191,0.5426416,0.3637941
0.53300685,0.5119191,0.9171082,0.5426416,0.9050944,0.3637941,0.49968198,0.60185575,0.4383153
0.51990324,0.49968198,0.93016374,0.60185575,0.88890684,0.4383153,0.5979667,0.5362636,0.59620774
0.52582103,0.5979667,0.9324833,0.5362636,0.90714467,0.59620774,0.4828667,0.3597031,0.3856265
0.5095473,0.4828667,0.90548503,0.3597031,0.87938476,0.3856265,0.5937908,0.47166553,0.5088364
0.51461965,0.5937908,0.89726126,0.47166553,0.8786553,0.5088364,0.5994255,0.7287598,0.6101529
